<<<<<<< HEAD
2025/04/26 05:42:26.537, Tesla V100-SXM2-32GB, 0, 0, 0, 32768, 1, 32495
2025/04/26 05:42:26.538, Tesla V100-SXM2-32GB, 1, 0, 0, 32768, 1, 32495
2025/04/26 05:42:26.538, Tesla V100-SXM2-32GB, 2, 0, 0, 32768, 1, 32495
2025/04/26 05:42:26.538, Tesla V100-SXM2-32GB, 3, 0, 0, 32768, 1, 32495
2025/04/26 05:43:26.623, Tesla V100-SXM2-32GB, 0, 40, 4, 32768, 1756, 30739
2025/04/26 05:43:26.624, Tesla V100-SXM2-32GB, 1, 52, 3, 32768, 1762, 30733
2025/04/26 05:43:26.624, Tesla V100-SXM2-32GB, 2, 16, 7, 32768, 1904, 30591
2025/04/26 05:43:26.624, Tesla V100-SXM2-32GB, 3, 99, 6, 32768, 1912, 30583
2025/04/26 05:44:26.703, Tesla V100-SXM2-32GB, 0, 13, 4, 32768, 1756, 30739
2025/04/26 05:44:26.703, Tesla V100-SXM2-32GB, 1, 87, 4, 32768, 1764, 30731
2025/04/26 05:44:26.704, Tesla V100-SXM2-32GB, 2, 23, 8, 32768, 1904, 30591
2025/04/26 05:44:26.704, Tesla V100-SXM2-32GB, 3, 99, 8, 32768, 1912, 30583
2025/04/26 05:45:26.787, Tesla V100-SXM2-32GB, 0, 12, 3, 32768, 2192, 30303
2025/04/26 05:45:26.788, Tesla V100-SXM2-32GB, 1, 80, 4, 32768, 2200, 30295
2025/04/26 05:45:26.788, Tesla V100-SXM2-32GB, 2, 62, 8, 32768, 2340, 30155
2025/04/26 05:45:26.788, Tesla V100-SXM2-32GB, 3, 70, 8, 32768, 2348, 30147
2025/04/26 05:46:26.871, Tesla V100-SXM2-32GB, 0, 12, 4, 32768, 2192, 30303
2025/04/26 05:46:26.871, Tesla V100-SXM2-32GB, 1, 88, 4, 32768, 2200, 30295
2025/04/26 05:46:26.872, Tesla V100-SXM2-32GB, 2, 21, 8, 32768, 2340, 30155
2025/04/26 05:46:26.872, Tesla V100-SXM2-32GB, 3, 100, 8, 32768, 2348, 30147
2025/04/26 05:47:26.955, Tesla V100-SXM2-32GB, 0, 12, 4, 32768, 2192, 30303
2025/04/26 05:47:26.956, Tesla V100-SXM2-32GB, 1, 97, 4, 32768, 2200, 30295
2025/04/26 05:47:26.956, Tesla V100-SXM2-32GB, 2, 63, 7, 32768, 2340, 30155
2025/04/26 05:47:26.956, Tesla V100-SXM2-32GB, 3, 69, 6, 32768, 2348, 30147
2025/04/26 05:48:27.036, Tesla V100-SXM2-32GB, 0, 14, 4, 32768, 2192, 30303
2025/04/26 05:48:27.036, Tesla V100-SXM2-32GB, 1, 91, 3, 32768, 2200, 30295
2025/04/26 05:48:27.036, Tesla V100-SXM2-32GB, 2, 15, 6, 32768, 2340, 30155
2025/04/26 05:48:27.037, Tesla V100-SXM2-32GB, 3, 99, 6, 32768, 2348, 30147
2025/04/26 05:49:27.119, Tesla V100-SXM2-32GB, 0, 22, 4, 32768, 2192, 30303
2025/04/26 05:49:27.119, Tesla V100-SXM2-32GB, 1, 95, 3, 32768, 2200, 30295
2025/04/26 05:49:27.120, Tesla V100-SXM2-32GB, 2, 16, 7, 32768, 2340, 30155
2025/04/26 05:49:27.120, Tesla V100-SXM2-32GB, 3, 99, 6, 32768, 2348, 30147
2025/04/26 05:50:27.179, Tesla V100-SXM2-32GB, 0, 27, 3, 32768, 2192, 30303
2025/04/26 05:50:27.180, Tesla V100-SXM2-32GB, 1, 79, 3, 32768, 2200, 30295
2025/04/26 05:50:27.180, Tesla V100-SXM2-32GB, 2, 16, 7, 32768, 2340, 30155
2025/04/26 05:50:27.180, Tesla V100-SXM2-32GB, 3, 99, 8, 32768, 2348, 30147
2025/04/26 05:51:27.263, Tesla V100-SXM2-32GB, 0, 21, 4, 32768, 2192, 30303
2025/04/26 05:51:27.263, Tesla V100-SXM2-32GB, 1, 77, 4, 32768, 2200, 30295
2025/04/26 05:51:27.264, Tesla V100-SXM2-32GB, 2, 17, 8, 32768, 2340, 30155
2025/04/26 05:51:27.264, Tesla V100-SXM2-32GB, 3, 99, 8, 32768, 2348, 30147
